name,url,urlname,members,city,rating,in_pro_network,network,query,lat,lon,country,pro_network_misses,non_meetup,upcoming_events_count
Python Hrvatska,https://www.meetup.com/python-hrvatska,python-hrvatska,1834,Zagreb,4.8,True,psf,Python Hrvatska,43.5045774,16.4453374,Hrvatska,0,False,0
Python Valencia,https://www.meetup.com/python-valencia-meetup,python-valencia-meetup,1837,Valencia,4.8,True,psf,Python Valencia,34.4245463,-118.5949528,United States,0,False,0
Python Bari,https://www.meetup.com/python-bari,python-bari,778,Bari,4.9,True,psf,Python Bari,50.8496866,4.392157,België / Belgique / Belgien,0,False,0
Django London,https://www.meetup.com/djangolondon,djangolondon,3374,London,4.8,True,psf,London,51.5074456,-0.1277653,United Kingdom,0,False,
PyLadies London,https://www.meetup.com/PyLadiesLondon,PyLadiesLondon,3142,London,4.8,True,psf,London,51.5074456,-0.1277653,United Kingdom,0,False,
Oxford Python,https://www.meetup.com/oxfordpython,oxfordpython,1101,Oxford,4.7,True,psf,Oxford,51.7520131,-1.2578499,United Kingdom,0,False,
PyLadies Brussels,https://www.meetup.com/pyladies-brussels,pyladies-brussels,95,Brussels,,True,psf,Brussels,50.8467372,4.352493,België / Belgique / Belgien,0,False,
Python Leiden User Group,https://www.meetup.com/python-leiden-user-group,python-leiden-user-group,334,Leiden,4.7,True,psf,Leiden,52.1594747,4.4908843,Nederland,0,False,
"Python, Machine Learning and Deep Learning Meetup Group",https://www.meetup.com/paris-python-machine-learning-deep-learning-meetup-group,paris-python-machine-learning-deep-learning-meetup-group,836,Paris,4.8,True,psf,Paris,48.8534951,2.3483915,France,0,False,
PyLadies Paris,https://www.meetup.com/pyladiesparis,pyladiesparis,840,Paris,4.8,True,psf,Paris,48.8534951,2.3483915,France,0,False,
PyAmsterdam,https://www.meetup.com/pyamsterdam,pyamsterdam,2075,Amsterdam,4.5,True,psf,Amsterdam,52.3730796,4.8924534,Nederland,0,False,
PyLadies Amsterdam,https://www.meetup.com/pyladiesams,pyladiesams,3307,Amsterdam,4.7,True,psf,Amsterdam,52.3730796,4.8924534,Nederland,0,False,
PyLadies Dublin,https://www.meetup.com/pyladiesdublin,pyladiesdublin,1968,Dublin,4.7,True,psf,Dublin,53.3493795,-6.2605593,Éire / Ireland,0,False,
PyCologne,https://www.meetup.com/pycologne,pycologne,741,Cologne,4.8,True,psf,Cologne,50.938361,6.959974,Deutschland,0,False,
Python Glasgow,https://www.meetup.com/python-glasgow,python-glasgow,1876,Glasgow,4.8,True,psf,Glasgow,55.861155,-4.2501687,United Kingdom,0,False,
Python User Group Freiburg,https://www.meetup.com/Python-User-Group-Freiburg,Python-User-Group-Freiburg,848,Freiburg,4.7,True,psf,Freiburg,47.9960901,7.8494005,Deutschland,0,False,
PyLadies Hamburg,https://www.meetup.com/PyLadies-Hamburg,PyLadies-Hamburg,1381,Hamburg,4.7,True,psf,Hamburg,53.550341,10.000654,Deutschland,0,False,
PyLadies Zurich,https://www.meetup.com/pyladies-zurich,pyladies-zurich,99,Zürich,4.7,True,psf,Zürich,47.3744489,8.5410422,Schweiz/Suisse/Svizzera/Svizra,0,False,
Python User Group Nürnberg,https://www.meetup.com/python-user-group-nuremberg,python-user-group-nuremberg,1040,Nürnberg,4.7,True,psf,Nürnberg,49.453872,11.077298,Deutschland,0,False,
Pyladies Munich,https://www.meetup.com/pyladiesmunich,pyladiesmunich,1456,Munich,4.6,True,psf,Munich,48.1371079,11.5753822,Deutschland,0,False,
PyBerlin,https://www.meetup.com/pyberlin,pyberlin,6815,Berlin,4.6,True,psf,Berlin,52.5173885,13.3951309,Deutschland,0,False,
PyLadies Berlin,https://www.meetup.com/pyladies-berlin,pyladies-berlin,3258,Berlin,4.8,True,psf,Berlin,52.5173885,13.3951309,Deutschland,0,False,
Python Milano,https://www.meetup.com/python-milano,python-milano,1418,Milano,4.8,True,psf,Milano,45.4641943,9.1896346,Italia,0,False,
Python Girona,https://www.meetup.com/pythongirona,pythongirona,585,Girona,4.9,True,psf,Girona,41.9793006,2.8199439,España,0,False,
Python A Coruña,https://www.meetup.com/python-a-coruna,python-a-coruna,643,A Coruña,4.9,True,psf,A Coruña,43.3466447,-8.4127029,España,0,False,
PyLadies BCN,https://www.meetup.com/PyLadies-BCN,PyLadies-BCN,921,Barcelona,4.8,True,psf,Barcelona,41.3825802,2.177073,España,0,False,
Python Barcelona Meetup,https://www.meetup.com/python-barcelona,python-barcelona,4646,Barcelona,4.6,True,psf,Barcelona,41.3825802,2.177073,España,0,False,
PyLadies Oslo,https://www.meetup.com/pyladies-oslo,pyladies-oslo,167,Oslo,4.6,True,psf,Oslo,59.9133301,10.7389701,Norge,0,False,
Ljubljana Python User Group,https://www.meetup.com/Ljubljana-Python-Group,Ljubljana-Python-Group,1578,Ljubljana,4.8,True,psf,Ljubljana,46.0500268,14.5069289,Slovenija,0,False,
PyLadies Madrid,https://www.meetup.com/pyladiesmadrid,pyladiesmadrid,2002,Madrid,4.8,True,psf,Madrid,40.416782,-3.703507,España,0,False,
PyLadies Stockholm,https://www.meetup.com/pyladiesstockholm,pyladiesstockholm,1353,Stockholm,4.7,True,psf,Stockholm,59.3251172,18.0710935,Sverige,0,False,
