name,url,urlname,members,city,rating,query,lat,lon,country,past_events_count,organizer_count,primary_organizer,last_event_date,has_upcoming_events,events_url,leaders_url,days_since_last_event,in_pro_network,pro_network_misses,upcoming_events_count,source
PyData SoCal,https://www.meetup.com/pydata-socal,pydata-socal,2123,Los Angeles,4.8,"Los Angeles, United States",34.0522342,-118.2436849,United States,30,,Pramit Choudhary,2025-07-07T15:00:00-07:00[America/Los_Angeles],True,https://www.meetup.com/pydata-socal/events/,https://www.meetup.com/pydata-socal/members/?op=leaders,404,False,0,0,
Salt Lake City PyData Meetup,https://www.meetup.com/pydata-slc/,pydata-slc,457,Salt Lake City,4.7,"Salt Lake City, United States",40.7607793,-111.8910474,United States,29,4,Travis Oliphant,2025-07-07T15:00:00-06:00[America/Denver],True,https://www.meetup.com/pydata-slc/events/,https://www.meetup.com/pydata-slc/members/?op=leaders,404,False,0,0,
PyData St. Louis,https://www.meetup.com/pydata-st-louis,pydata-st-louis,169,Saint Louis,4.8,"Saint Louis, United States",38.6254063,-90.190009,United States,11,6,"NumFOCUS, Inc.",2026-08-11T22:30:00-05:00[America/Chicago],True,https://www.meetup.com/pydata-st-louis/events/,https://www.meetup.com/pydata-st-louis/members/?op=leaders,3,True,0,1,
PyData Chicago,https://www.meetup.com/pydatachi,pydatachi,6519,Chicago,4.6,"Chicago, United States",41.8755616,-87.6244212,United States,141,4,"NumFOCUS, Inc.",2026-07-24T04:00:00-05:00[America/Chicago],True,https://www.meetup.com/pydatachi/events/,https://www.meetup.com/pydatachi/members/?op=leaders,22,True,0,1,
PyData Ann Arbor,https://www.meetup.com/pydata-ann-arbor,pydata-ann-arbor,1346,Ann Arbor,4.7,"Ann Arbor, United States",42.2813722,-83.7484616,United States,51,,,2026-07-24T04:00:00-04:00[America/New_York],True,https://www.meetup.com/pydata-ann-arbor/events/,https://www.meetup.com/pydata-ann-arbor/members/?op=leaders,22,False,0,0,
PyData Denver,https://www.meetup.com/PyData-Denver,PyData-Denver,1687,Denver,4.8,"Denver, United States",39.7392364,-104.984862,United States,37,9,,2026-07-24T04:00:00-06:00[America/Denver],True,https://www.meetup.com/PyData-Denver/events/,https://www.meetup.com/PyData-Denver/members/?op=leaders,22,True,0,0,
NEO AI - a PyData Group,https://www.meetup.com/neo-ai,neo-ai,116,Cleveland,,"Cleveland, United States",41.4996574,-81.6936772,United States,0,,,,False,https://www.meetup.com/neo-ai/events/,https://www.meetup.com/neo-ai/members/?op=leaders,,False,0,0,
Dallas Data Engineers - a PyData Group,https://www.meetup.com/dallas-data-engineers,dallas-data-engineers,656,Dallas,4.8,"Dallas, United States",32.7762719,-96.7968559,United States,17,,,2026-06-05T07:00:00-05:00[America/Chicago],True,https://www.meetup.com/dallas-data-engineers/events/,https://www.meetup.com/dallas-data-engineers/members/?op=leaders,71,False,0,0,
PyData Pittsburgh,https://www.meetup.com/pydata-pittsburgh,pydata-pittsburgh,1714,Pittsburgh,4.8,"Pittsburgh, United States",40.4406968,-80.0025666,United States,62,9,Pete Fein,2026-07-24T04:00:00-04:00[America/New_York],True,https://www.meetup.com/pydata-pittsburgh/events/,https://www.meetup.com/pydata-pittsburgh/members/?op=leaders,22,True,0,0,
PyData Atlanta,https://www.meetup.com/PyData-Atlanta,PyData-Atlanta,3835,Atlanta,4.8,"Atlanta, United States",33.7544657,-84.3898151,United States,131,5,Jeremy Jacobson,2026-07-24T04:00:00-04:00[America/New_York],True,https://www.meetup.com/PyData-Atlanta/events/,https://www.meetup.com/PyData-Atlanta/members/?op=leaders,22,True,0,1,
