name,url,urlname,members,city,rating,in_pro_network,network,query,lat,lon,country,pro_network_misses,non_meetup,upcoming_events_count,past_events_count,organizer_count,primary_organizer,last_event_date,events_url,leaders_url,days_since_last_event
DFW Pythoneers,https://www.meetup.com/dfwpython,dfwpython,5678,Plano,4.6,True,pytexas,Plano,33.0136764,-96.6925096,United States,0,False,4,713,7,PyTexas Foundation,2026-08-28T00:00:00-05:00[America/Chicago],https://www.meetup.com/dfwpython/events/,https://www.meetup.com/dfwpython/members/?op=leaders,1
PyTexas Virtual Meetup - Dallas,https://www.meetup.com/pytexas-virtual-meetup-dallas,pytexas-virtual-meetup-dallas,210,Dallas,5.0,True,pytexas,Dallas,32.7762719,-96.7968559,United States,0,False,1,38,,PyTexas Foundation,2026-08-05T01:00:00-05:00[America/Chicago],https://www.meetup.com/pytexas-virtual-meetup-dallas/events/,https://www.meetup.com/pytexas-virtual-meetup-dallas/members/?op=leaders,24
PyTexas Virtual Meetup - Houston,https://www.meetup.com/pytexas-virtual-meetup-houston,pytexas-virtual-meetup-houston,114,Houston,,True,pytexas,Houston,29.7589382,-95.3676974,United States,0,False,1,38,,PyTexas Foundation,2026-08-05T01:00:00-05:00[America/Chicago],https://www.meetup.com/pytexas-virtual-meetup-houston/events/,https://www.meetup.com/pytexas-virtual-meetup-houston/members/?op=leaders,24
Houston PyLadies,https://www.meetup.com/Houston_PyLadies,Houston_PyLadies,834,Houston,4.8,True,pytexas,Houston,29.7589382,-95.3676974,United States,0,False,1,71,,PyTexas Foundation,2026-08-05T01:00:00-05:00[America/Chicago],https://www.meetup.com/Houston_PyLadies/events/,https://www.meetup.com/Houston_PyLadies/members/?op=leaders,24
PyHou - Houston Python Enthusiasts!,https://www.meetup.com/python-14,python-14,3872,Houston,4.6,True,pytexas,Houston,29.7589382,-95.3676974,United States,0,False,1,248,8,PyTexas Foundation,2026-08-18T23:00:00-05:00[America/Chicago],https://www.meetup.com/python-14/events/,https://www.meetup.com/python-14/members/?op=leaders,10
Katy Python Coders,https://www.meetup.com/katy-python-coders,katy-python-coders,570,Katy,4.9,True,pytexas,Katy,29.7857853,-95.8243956,United States,0,False,1,46,,PyTexas Foundation,2026-08-05T01:00:00-05:00[America/Chicago],https://www.meetup.com/katy-python-coders/events/,https://www.meetup.com/katy-python-coders/members/?op=leaders,24
PyLadies ATX,https://www.meetup.com/pyladies-atx,pyladies-atx,1513,Austin,4.7,True,pytexas,Austin,30.2711286,-97.7436995,United States,0,False,1,256,6,PyTexas Foundation,2026-08-05T01:00:00-05:00[America/Chicago],https://www.meetup.com/pyladies-atx/events/,https://www.meetup.com/pyladies-atx/members/?op=leaders,24
PyTexas Virtual Meetup - Austin,https://www.meetup.com/pytexas-virtual-meetup-austin,pytexas-virtual-meetup-austin,322,Austin,4.5,True,pytexas,Austin,30.2711286,-97.7436995,United States,0,False,1,42,6,PyTexas Foundation,2026-08-05T01:00:00-05:00[America/Chicago],https://www.meetup.com/pytexas-virtual-meetup-austin/events/,https://www.meetup.com/pytexas-virtual-meetup-austin/members/?op=leaders,24
Alamo Python,https://www.meetup.com/alamo-python,alamo-python,2317,San Antonio,4.7,True,pytexas,San Antonio,29.4246002,-98.4951405,United States,0,False,3,115,4,PyTexas Foundation,2026-08-05T01:00:00-05:00[America/Chicago],https://www.meetup.com/alamo-python/events/,https://www.meetup.com/alamo-python/members/?op=leaders,24
PyTexas Virtual Meetup - San Antonio,https://www.meetup.com/pytexas-virtual-meetup-san-antonio,pytexas-virtual-meetup-san-antonio,132,San Antonio,4.5,True,pytexas,San Antonio,29.4246002,-98.4951405,United States,0,False,1,38,,PyTexas Foundation,2026-08-05T01:00:00-05:00[America/Chicago],https://www.meetup.com/pytexas-virtual-meetup-san-antonio/events/,https://www.meetup.com/pytexas-virtual-meetup-san-antonio/members/?op=leaders,24
